序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
34,0x424bde0ed4a72c696449ad14fc43cc23c7860f5a,0xde394fe6cff40c14fc32b9b6bbd1c4daccfc4f7d6ea73c3731a94488b5ff914e,5.40,32400.0,6000.0,
35,0x9d47a27a3ba36ae2bcb323c4b411478d70a202e5,0xa73f2debf4d1a70e9bc74fbc034f6965929d89b10d83e20238add385bf9a7386,3.40,20400.0,6000.0,
36,0x1e324b2dff89519688cd28865acf372af73730db,0x86a54f7b839319a341a41937ba23518d6c989aaabccecb60b49669d08c734c95,0.57,3420.0,6000.0,
37,0xd36227d854a8d939ca265a1c28a874eb9bfb4fbd,0x6f594a7e49d23d568551a4cabb4517c2a2b674a493e991e454bad7d0fe56ed38,0.70,4200.0,6000.0,
38,0xfcf9043d6aba1512b95752ab1942a4e39cf87355,0x248ac533fbcdf0e160d30160e0fcc777a2c1758fbdc9584f125834ae897a20fa,25.00,150000.0,6000.0,
39,0xf53e1bbf72b0d3e6d37c8a7577e0452e7857a1e4,0xea3b542074fc02a5c6221338ec663dd86475f9b192f005c2a75f65ae0d0661f2,9.00,54000.0,6000.0,
40,0x334d8de8b8c1febf08a517b7087210de6eb5ddfe,0x8f44f7bb9fed975dd566fac5f4e997fda2dfa6dc7e7a464c6e6d47682e6a4206,3.56,21360.0,6000.0,
41,0xa4b85572121fa5a5e3ae72c8e636a67c690f622e,0x2414db0de14c7ad742d50dae490bb605dd0dac06d777ea5d28549a81f30a1606,8.00,48000.0,6000.0,
42,0x78c2a27d29191ecc11c9508d1d53bb2475f37a80,0x368d43de6d56bee6b2f02c73554e290a4b8aad555f7a33ef9a9358ac938c9232,0.75,4512.0,6000.0,
43,0xe1e0adc8f5f06809da0a9ee902ea884bd70f13c4,0x30904fed33346fd3f12dcabcf04cc0b4a3aad13f0b244ba40f16fca1472ae488,2.00,12000.0,6000.0,
44,0x7b6efb20b3575a86ae478aedb74d72bf3db76e34,0x977410cfa5a03f23a5ea41e7922ce9d062a5bdfbc9f4aa447b4715e0a9fce5c2,4.95,29700.0,6000.0,
45,0xa3ae668b6239fa3eb1dc26daabb03f244d0259f0,0x24deeea2c368f8f93c9ec069597c6c6f040564165ab8b3fb963864f22aa7b298,0.12,740.4,6000.0,
46,0x184c7ca1ffeeb5be9fb442233ec8abb09bcae65c,0x09b8f634c578f7d5ab633e51482a137493d74a3a89bcf09c05eca9b61227706c,32.00,192000.0,6000.0,
